Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2023
Provinsi Jawa Barat,9140039
Bogor,283267
Sukabumi,512392
Cianjur,650123
Bandung,300143
Garut,453788
Tasikmalaya,391380
Ciamis,299124
Kuningan,261023
Cirebon,495878
Majalengka,558430
Sumedang,287113
Indramayu,1424303
Subang,1027660
Purwakarta,186533
Karawang,1131977
Bekasi,497339
Bandung Barat,143213
Pangandaran,139300
Kota Bogor,124
Kota Sukabumi,16187
Kota Bandung,6326
Kota Cirebon,769
Kota Bekasi,1316
Kota Depok,31
Kota Cimahi,440
Kota Tasikmalaya,39969
Kota Banjar,31892
