Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2020
Provinsi Jawa Barat,9016772.58
Bogor,298974.65
Sukabumi,521459.25
Cianjur,622992.32
Bandung,277156.28
Garut,424913.9
Tasikmalaya,444358.24
Ciamis,282791.46
Kuningan,277317.9
Cirebon,497080.1
Majalengka,566334.48
Sumedang,307178
Indramayu,1363311.87
Subang,970759.74
Purwakarta,159957.49
Karawang,1087873.9
Bekasi,504103.31
Bandung Barat,164640.49
Pangandaran,154982.57
Kota Bogor,152.26
Kota Sukabumi,14532.67
Kota Bandung,6799.08
Kota Cirebon,1031.24
Kota Bekasi,2723.05
Kota Depok,189.23
Kota Cimahi,437.44
Kota Tasikmalaya,36349.8
Kota Banjar,28371.86
