Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2019
Provinsi Jawa Barat,9084957
Bogor,307860.9
Sukabumi,468764.3
Cianjur,641804.3
Bandung,344214.4
Garut,449395
Tasikmalaya,441241.7
Ciamis,276734.1
Kuningan,219953.3
Cirebon,502575
Majalengka,572005.8
Sumedang,302668.9
Indramayu,1376430
Subang,942932
Purwakarta,143820
Karawang,1117814
Bekasi,549639.7
Bandung Barat,158988.4
Pangandaran,174597
Kota Bogor,304.28
Kota Sukabumi,15103.37
Kota Bandung,7317.23
Kota Cirebon,1090.79
Kota Bekasi,3045.2
Kota Depok,465.03
Kota Cimahi,406.54
Kota Tasikmalaya,37041.64
Kota Banjar,28744.69
