Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2015
Provinsi Jawa Barat,11373143
Bogor,492207
Sukabumi,842655
Cianjur,851650
Bandung,483315
Garut,919971
Tasikmalaya,843096
Ciamis,402621
Kuningan,355015
Cirebon,443467
Majalengka,611223
Sumedang,433576
Indramayu,1294158
Subang,1028009
Purwakarta,211523
Karawang,1188633
Bekasi,447869
Bandung Barat,205562
Pangandaran,166428
Kota Bogor,3588
Kota Sukabumi,24474
Kota Bandung,10672
Kota Cirebon,2425
Kota Bekasi,3050
Kota Depok,1475
Kota Cimahi,2240
Kota Tasikmalaya,65829
Kota Banjar,38412
