Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2024
Provinsi Jawa Barat,8626879.91
Bogor,299675.82
Sukabumi,466835.93
Cianjur,630847.78
Bandung,334188.58
Garut,454937.51
Tasikmalaya,353415.07
Ciamis,236248.23
Kuningan,223427.76
Cirebon,510632.02
Majalengka,484085.66
Sumedang,271869
Indramayu,1399352.12
Subang,968941.45
Purwakarta,180397.1
Karawang,1041530.95
Bekasi,416476.98
Bandung Barat,148802.98
Pangandaran,118188.45
Kota Bogor,150.39
Kota Sukabumi,13693.1
Kota Bandung,6547.7
Kota Cirebon,638.23
Kota Bekasi,1211.69
Kota Depok,32.73
Kota Cimahi,435.34
Kota Tasikmalaya,35403.54
Kota Banjar,28913.8
