Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2016
Provinsi Jawa Barat,12540550
Bogor,582917
Sukabumi,956502
Cianjur,939731
Bandung,518331
Garut,962531
Tasikmalaya,844659
Ciamis,474255
Kuningan,369220
Cirebon,537949
Majalengka,719590
Sumedang,454345
Indramayu,1540984
Subang,1091620
Purwakarta,228005
Karawang,1149484
Bekasi,506169
Bandung Barat,305169
Pangandaran,189990
Kota Bogor,4744
Kota Sukabumi,24246
Kota Bandung,6369
Kota Cirebon,2830
Kota Bekasi,4131
Kota Depok,1424
Kota Cimahi,1599
Kota Tasikmalaya,81863
Kota Banjar,41893
