Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2021
Provinsi Jawa Barat,9113573
Bogor,285154
Sukabumi,492926.3
Cianjur,611773
Bandung,310715.2
Garut,443319.9
Tasikmalaya,445909.2
Ciamis,320330.7
Kuningan,275893.2
Cirebon,464730.7
Majalengka,534250.2
Sumedang,262037.8
Indramayu,1319624
Subang,959456.4
Purwakarta,167865.3
Karawang,1234134
Bekasi,587586.1
Bandung Barat,146494.6
Pangandaran,140000.7
Kota Bogor,172.1
Kota Sukabumi,15123.41
Kota Bandung,7097.77
Kota Cirebon,1244.61
Kota Bekasi,2304.54
Kota Depok,244.35
Kota Cimahi,442.71
Kota Tasikmalaya,49118.08
Kota Banjar,35624.74
