Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2025
Provinsi Jawa Barat,10226654
Bogor,345984
Sukabumi,660107
Cianjur,800735
Bandung,353307
Garut,555727
Tasikmalaya,524895
Ciamis,331255
Kuningan,249686
Cirebon,568548
Majalengka,496250
Sumedang,294027
Indramayu,1583262
Subang,1094781
Purwakarta,188774
Karawang,1194712
Bekasi,500189
Bandung Barat,215065
Pangandaran,160944
Kota Bogor,805
Kota Sukabumi,15835
Kota Bandung,6978
Kota Cirebon,676
Kota Bekasi,897
Kota Depok,52
Kota Cimahi,575
Kota Tasikmalaya,50779
Kota Banjar,31808
