Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2018
Provinsi Jawa Barat,9647359
Bogor,348683.6
Sukabumi,525859
Cianjur,696726
Bandung,314869.2
Garut,449584.5
Tasikmalaya,510048.8
Ciamis,316213
Kuningan,314443.9
Cirebon,552564.8
Majalengka,554231.7
Sumedang,330508.5
Indramayu,1414731
Subang,990994.9
Purwakarta,177276.3
Karawang,1133671
Bekasi,544986.2
Bandung Barat,170935
Pangandaran,194398.1
Kota Bogor,420.38
Kota Sukabumi,14436.5
Kota Bandung,8244.51
Kota Cirebon,1767.92
Kota Bekasi,2459.63
Kota Depok,357.06
Kota Cimahi,393.82
Kota Tasikmalaya,46943.05
Kota Banjar,31610.43
