Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2022
Provinsi Jawa Barat,9433723.09
Bogor,299893.8
Sukabumi,508220.48
Cianjur,617941.03
Bandung,289205.7
Garut,441316.2
Tasikmalaya,430961.73
Ciamis,305676.17
Kuningan,277583.76
Cirebon,494699.98
Majalengka,566087.34
Sumedang,298163
Indramayu,1482255.86
Subang,1038780.58
Purwakarta,188731.69
Karawang,1226880.08
Bekasi,555747.09
Bandung Barat,153648.29
Pangandaran,148670.61
Kota Bogor,173.99
Kota Sukabumi,13254.34
Kota Bandung,7186.11
Kota Cirebon,861.82
Kota Bekasi,1868.44
Kota Depok,72.13
Kota Cimahi,338.03
Kota Tasikmalaya,54233.66
Kota Banjar,31271.18
